Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Order Value,Customer ID,Country,Delivery Date,Date of return,Days between delivery and return,Payment method,Customer liftime return rate,Catergory Mix,Device signals,Discount in percentage,Account age (in days),Free text return reason,Order Date,Account Created Date,Consecutive prior returns,Abuse probability,is_abuse
C514024,M,Manual,-1,6/30/10 11:22,142.31,142.31,12346,United Kingdom,9/7/10,16-07-10,7,Credit Card,0.2326,Gifts & Household,Desktop,10,375,Ordered by mistake,3/7/10,23-06-09,9,0.7914,1
C525099,D,Discount,-1,10/4/10 9:54,1,1,12346,United Kingdom,12/10/10,20-10-10,8,Credit Card,0.25,Gifts & Household,Laptop,10,469,Ordered by mistake,5/10/10,23-06-09,10,0.1006,0
C525274,TEST001,This is a test product.,-1,10/4/10 16:33,4.5,4.5,12346,United Kingdom,11/10/10,13-10-10,2,Debit Card,0.2667,Gifts & Household,Desktop,0,469,Bought the wrong item,5/10/10,23-06-09,11,0.3993,0
C490283,22072,TEA CUP AND SAUCER RETRO SPOT,-1,12/4/09 12:49,3.75,3.75,12349,Italy,11/12/09,6/1/10,26,PayPal,0,Kitchenware,Mobile,0,215,Changed my mind,7/12/09,6/5/09,0,0.0715,0
C490283,20914,SET/5 RED SPOTTY LID GLASS BOWLS,-1,12/4/09 12:49,2.95,2.95,12349,Italy,14-12-09,30-12-09,16,Credit Card,1,Kitchenware,Desktop,10,215,Wrong size,7/12/09,6/5/09,1,0.3931,1
C490283,21231,SWEETHEART CERAMIC TRINKET BOX,-1,12/4/09 12:49,1.25,1.25,12349,Italy,13-12-09,14-12-09,1,Debit Card,1,Storage & Organisation,Mobile,0,215,Item did not suit me,7/12/09,6/5/09,2,0.3148,1
C490283,21232,STRAWBERRY CERAMIC TRINKET BOX,-1,12/4/09 12:49,1.25,1.25,12349,Italy,14-12-09,28-12-09,14,Bank Transfer,1,Storage & Organisation,Desktop,0,215,Bought the wrong item,7/12/09,6/5/09,3,0.3512,0
C490283,20747,PICCADILLY TEA SET,-1,12/4/09 12:49,14.95,14.95,12349,Italy,12/12/09,18-12-09,6,Credit Card,1,Gifts & Household,Mobile,5,215,Ordered by mistake,7/12/09,6/5/09,4,0.6843,0
C492402,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,-12,12/16/09 15:39,0.85,10.2,12359,Cyprus,27-12-09,23-01-10,27,Debit Card,0,Gifts & Household,Desktop,15,965,Bought the wrong item,20-12-09,30-04-07,0,0.0894,0
C492402,22047,EMPIRE GIFT WRAP,-200,12/16/09 15:39,0.34,68,12359,Cyprus,21-12-09,10/1/10,20,Credit Card,0.0286,Gifts & Household,Desktop,0,965,Changed my mind,20-12-09,30-04-07,1,0.4577,0
C504179,22471,TV DINNER TRAY AIR HOSTESS ,-2,4/12/10 8:40,4.95,9.9,12359,Cyprus,17-04-10,6/5/10,19,PayPal,0.0294,Gifts & Household,Mobile,20,1079,Colour was different from expected,14-04-10,30-04-07,0,0.1088,0
C504179,22359,GLASS JAR KINGS CHOICE,-2,4/12/10 8:40,2.95,5.9,12359,Cyprus,21-04-10,18-05-10,27,PayPal,0.0435,Kitchenware,Laptop,0,1079,Wrong size,14-04-10,30-04-07,1,0.2784,0
C509628,POST,POSTAGE,-1,5/25/10 10:01,40,40,12360,Austria,27-05-10,17-06-10,21,Credit Card,0,Gifts & Household,Tablet,0,1141,Item did not suit me,25-05-10,10/4/07,0,0.1125,0
C497951,M,Manual,-1,2/15/10 12:29,1508.65,1508.65,12380,Belgium,26-02-10,1/3/10,3,Bank Transfer,0,Gifts & Household,Desktop,20,718,Item did not suit me,19-02-10,3/3/08,0,0.0664,0
C513966,POST,POSTAGE,-16,6/29/10 15:32,15,240,12380,Belgium,7/7/10,2/8/10,26,Credit Card,0.0078,Gifts & Household,Laptop,0,851,No longer needed,2/7/10,3/3/08,0,0.3209,1
C534533,22361,GLASS JAR DAISY FRESH COTTON WOOL,-4,11/23/10 12:06,2.95,11.8,12380,Belgium,27-11-10,26-12-10,29,Debit Card,0.0114,Kitchenware,Mobile,5,997,Item did not suit me,25-11-10,3/3/08,0,0.2343,0
C534533,22363,GLASS JAR MARMALADE ,-4,11/23/10 12:06,2.95,11.8,12380,Belgium,2/12/10,8/12/10,6,Credit Card,0.017,Kitchenware,Laptop,0,997,Item did not suit me,25-11-10,3/3/08,1,0.1364,0
C534533,22362,GLASS JAR PEACOCK BATH SALTS,-4,11/23/10 12:06,2.95,11.8,12380,Belgium,29-11-10,3/12/10,4,Debit Card,0.0226,Kitchenware,Laptop,10,997,Ordered by mistake,25-11-10,3/3/08,2,0.3085,0
C495743,ADJUST,Adjustment by john on 26/01/2010 16,-1,1/26/10 16:25,18.38,18.38,12382,Netherlands,29-01-10,28-02-10,30,Debit Card,0,Gifts & Household,Desktop,0,635,Colour was different from expected,27-01-10,2/5/08,0,0.2559,0
C535323,POST,POSTAGE,-1,11/25/10 15:19,15,15,12385,Belgium,2/12/10,14-12-10,12,Debit Card,0,Gifts & Household,Desktop,0,262,No longer needed,26-11-10,9/3/10,0,0.1417,0
C500016,84750A,PINK SMALL GLASS CAKE STAND,-1,3/4/10 10:34,1.95,1.95,12391,Cyprus,13-03-10,28-03-10,15,Bank Transfer,0,Kitchenware,Mobile,10,322,Bought the wrong item,6/3/10,18-04-09,0,0.0681,0
C500016,22202,MILK PAN PINK RETROSPOT,-1,3/4/10 10:34,3.75,3.75,12391,Cyprus,13-03-10,9/4/10,27,Credit Card,0.02,Gifts & Household,Desktop,10,322,No longer needed,6/3/10,18-04-09,1,0.3467,0
C500016,21658,GLASS  BEURRE DISH,-1,3/4/10 10:34,3.95,3.95,12391,Cyprus,8/3/10,28-03-10,20,Credit Card,0.0392,Kitchenware,Laptop,5,322,No longer needed,6/3/10,18-04-09,2,0.428,1
C500016,22218,CAKE STAND LACE WHITE,-1,3/4/10 10:34,4.25,4.25,12391,Cyprus,13-03-10,17-03-10,4,Credit Card,0.0577,Gifts & Household,Laptop,0,322,Bought the wrong item,6/3/10,18-04-09,3,0.3772,0
C500016,79067,CORONA MEXICAN TRAY,-2,3/4/10 10:34,3.75,7.5,12391,Cyprus,13-03-10,19-03-10,6,Credit Card,0.0755,Gifts & Household,Laptop,25,322,Ordered by mistake,6/3/10,18-04-09,4,0.5218,1
C500016,20799,PINK MILKSHAKE GLASS,-2,3/4/10 10:34,2.1,4.2,12391,Cyprus,9/3/10,25-03-10,16,Debit Card,0.0926,Kitchenware,Laptop,0,322,No longer needed,6/3/10,18-04-09,5,0.4144,1
C530933,20727,LUNCH BAG  BLACK SKULL.,-1,11/4/10 17:10,1.65,1.65,12393,Australia,7/11/10,4/12/10,27,Debit Card,0,Accessories,Desktop,5,856,No longer needed,4/11/10,1/7/08,0,0.057,0
C530933,22382,LUNCH BAG SPACEBOY DESIGN ,-1,11/4/10 17:10,1.65,1.65,12393,Australia,9/11/10,6/12/10,27,Debit Card,0.0588,Accessories,Tablet,10,856,Bought the wrong item,4/11/10,1/7/08,1,0.2026,0
C530933,22320,BIRDS MOBILE VINTAGE DESIGN,-1,11/4/10 17:10,5.95,5.95,12393,Australia,10/11/10,13-11-10,3,PayPal,0.1111,Gifts & Household,Laptop,15,856,Bought the wrong item,4/11/10,1/7/08,2,0.3333,0
C530933,22325,MOBILE VINTAGE HEARTS ,-1,11/4/10 17:10,4.95,4.95,12393,Australia,9/11/10,13-11-10,4,Bank Transfer,0.1579,Gifts & Household,Desktop,10,856,Changed my mind,4/11/10,1/7/08,3,0.3553,1
C530933,20703,BLUE PADDED SOFT MOBILE,-2,11/4/10 17:10,4.25,8.5,12393,Australia,10/11/10,16-11-10,6,Credit Card,0.2,Gifts & Household,Mobile,0,856,No longer needed,4/11/10,1/7/08,4,0.4362,1
C505353,22423,REGENCY CAKESTAND 3 TIER,-1,4/21/10 14:40,12.75,12.75,12402,Belgium,25-04-10,8/5/10,13,Credit Card,0,Gifts & Household,Laptop,15,1232,Item did not suit me,23-04-10,8/12/06,0,0.0693,0
C533108,22752,SET 7 BABUSHKA NESTING BOXES,-24,11/16/10 11:55,7.65,183.6,12406,Denmark,21-11-10,4/12/10,13,Debit Card,0,Storage & Organisation,Laptop,20,473,Colour was different from expected,19-11-10,2/8/09,0,0.1437,0
C524381,20719,WOODLAND CHARLOTTE BAG,-1,9/28/10 17:47,0.85,0.85,12408,Belgium,30-09-10,26-10-10,26,Debit Card,0,Accessories,Laptop,10,884,No longer needed,29-09-10,28-04-08,0,0.0416,0
C535284,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,-2,11/25/10 14:23,0.85,1.7,12408,Belgium,2/12/10,21-12-10,19,Debit Card,0.0182,Toys & Gifts,Laptop,10,943,No longer needed,27-11-10,28-04-08,0,0.0756,0
C535284,79190A,RETRO PLASTIC 70'S TRAY,-30,11/25/10 14:23,0.42,12.6,12408,Belgium,30-11-10,18-12-10,18,Debit Card,0.0357,Gifts & Household,Mobile,0,943,No longer needed,27-11-10,28-04-08,1,0.2373,0
C511477,21426,WOODLAND STORAGE BOX SMALL,-48,6/8/10 13:40,1.85,88.8,12409,Switzerland,17-06-10,8/7/10,21,Credit Card,0,Storage & Organisation,Mobile,10,337,Item did not suit me,10/6/10,7/7/09,0,0.2696,0
C511477,21424,WOODLAND STORAGE BOX LARGE ,-48,6/8/10 13:40,2.55,122.4,12409,Switzerland,13-06-10,3/7/10,20,Credit Card,0.0111,Storage & Organisation,Desktop,0,337,Item did not suit me,10/6/10,7/7/09,1,0.622,1
C514489,22618,COOKING SET RETROSPOT,-12,7/2/10 15:09,8.49,101.88,12409,Switzerland,7/7/10,4/8/10,28,PayPal,0.022,Gifts & Household,Laptop,0,361,Item did not suit me,4/7/10,7/7/09,2,0.5869,1
C513453,21563,RED HEART SHAPE LOVE BUCKET ,-2,6/24/10 15:19,2.95,5.9,12412,Denmark,28-06-10,20-07-10,22,Debit Card,0,Gifts & Household,Desktop,0,969,Bought the wrong item,25-06-10,30-10-07,0,0.03,0
C519466,22198,LARGE POPCORN HOLDER ,-2,8/17/10 11:46,1.65,3.3,12412,Denmark,23-08-10,28-08-10,5,Credit Card,0.0172,Gifts & Household,Mobile,5,1021,Bought the wrong item,17-08-10,30-10-07,0,0.0654,0
C519466,21563,RED HEART SHAPE LOVE BUCKET ,-1,8/17/10 11:46,2.95,2.95,12412,Denmark,23-08-10,2/9/10,10,Debit Card,0.0339,Gifts & Household,Laptop,5,1021,Ordered by mistake,17-08-10,30-10-07,1,0.1021,0
C519466,79067,CORONA MEXICAN TRAY,-1,8/17/10 11:46,3.75,3.75,12412,Denmark,23-08-10,6/9/10,14,Credit Card,0.05,Gifts & Household,Mobile,0,1021,Ordered by mistake,17-08-10,30-10-07,2,0.1899,1
C521155,M,Manual,-1,9/2/10 13:43,130,130,12414,Austria,12/9/10,28-09-10,16,Debit Card,0,Gifts & Household,Mobile,15,714,Colour was different from expected,5/9/10,21-09-08,0,0.1217,0
C521158,POST,POSTAGE,-1,9/2/10 13:53,40,40,12414,Austria,10/9/10,17-09-10,7,Credit Card,0.0909,Gifts & Household,Desktop,5,716,Bought the wrong item,7/9/10,21-09-08,0,0.3296,0
C521158,17003,BROCADE RING PURSE ,-36,9/2/10 13:53,0.21,7.56,12414,Austria,9/9/10,2/10/10,23,Debit Card,0.1667,Accessories,Laptop,15,716,Colour was different from expected,7/9/10,21-09-08,1,0.411,1
C521158,85226A,WHITE/BLUE PULL BACK RACING CAR,-24,9/2/10 13:53,0.55,13.2,12414,Austria,8/9/10,16-09-10,8,PayPal,0.2308,Gifts & Household,Desktop,0,716,No longer needed,7/9/10,21-09-08,2,0.3638,0
C521158,22421,LIPSTICK PEN FUSCHIA,-24,9/2/10 13:53,0.42,10.08,12414,Austria,12/9/10,30-09-10,18,Credit Card,0.2857,Gifts & Household,Laptop,5,716,Item did not suit me,7/9/10,21-09-08,3,0.5412,0
C521158,21829,DINOSAUR KEYRINGS ASSORTED,-36,9/2/10 13:53,0.21,7.56,12414,Austria,11/9/10,15-09-10,4,Credit Card,0.3333,Gifts & Household,Laptop,20,716,No longer needed,7/9/10,21-09-08,4,0.4933,0
C521158,20974,12 PENCILS SMALL TUBE SKULL,-24,9/2/10 13:53,0.65,15.6,12414,Austria,13-09-10,27-09-10,14,Credit Card,0.375,Gifts & Household,Mobile,0,716,Colour was different from expected,7/9/10,21-09-08,5,0.5851,1
C521158,20975,12 PENCILS SMALL TUBE RED SPOTTY,-24,9/2/10 13:53,0.65,15.6,12414,Austria,8/9/10,14-09-10,6,Debit Card,0.4118,Gifts & Household,Laptop,0,716,Changed my mind,7/9/10,21-09-08,6,0.6523,0
C521158,85227,SET OF 6 3D KIT CARDS FOR KIDS,-24,9/2/10 13:53,0.85,20.4,12414,Austria,8/9/10,7/10/10,29,Credit Card,0.4444,Gifts & Household,Tablet,0,716,Ordered by mistake,7/9/10,21-09-08,7,0.741,1
C494271,22061,LARGE CAKE STAND  HANGING STRAWBERY,-1,1/13/10 9:42,9.95,9.95,12417,Belgium,18-01-10,27-01-10,9,Bank Transfer,0,Gifts & Household,Laptop,5,288,Item did not suit me,14-01-10,31-03-09,0,0.0809,0
C504330,22215,CAKE STAND WHITE TWO TIER LACE,-1,4/12/10 16:04,8.5,8.5,12417,Belgium,20-04-10,20-05-10,30,Bank Transfer,0.0108,Gifts & Household,Tablet,10,378,Colour was different from expected,13-04-10,31-03-09,0,0.2858,0
C513746,22060,LARGE CAKE STAND HANGING HEARTS,-1,6/28/10 12:27,9.95,9.95,12417,Belgium,2/7/10,24-07-10,22,Credit Card,0.0182,Gifts & Household,Desktop,0,457,Bought the wrong item,1/7/10,31-03-09,0,0.1432,0
C530547,22409,MONEY BOX BISCUITS DESIGN,-8,11/3/10 13:15,1.25,10,12417,Belgium,11/11/10,12/11/10,1,Debit Card,0.0165,Storage & Organisation,Desktop,5,584,No longer needed,5/11/10,31-03-09,0,0.1092,0
C504319,22456,NATURAL SLATE CHALKBOARD LARGE ,-1,4/12/10 14:49,4.25,4.25,12418,Switzerland,15-04-10,24-04-10,9,Credit Card,0,Gifts & Household,Tablet,15,828,Bought the wrong item,13-04-10,6/1/08,0,0.0279,0
C517245,21232,STRAWBERRY CERAMIC TRINKET BOX,-4,7/27/10 14:53,1.25,5,12421,Spain,4/8/10,15-08-10,11,Debit Card,0,Storage & Organisation,Laptop,10,497,Changed my mind,30-07-10,20-03-09,0,0.0646,0
C507055,M,Manual,-1,5/6/10 10:02,662.25,662.25,12422,Australia,16-05-10,20-05-10,4,PayPal,0,Gifts & Household,Tablet,0,759,Colour was different from expected,9/5/10,9/4/08,0,0.0304,0
C507057,M,Manual,-1,5/6/10 10:04,396.2,396.2,12422,Australia,17-05-10,31-05-10,14,Credit Card,0.0323,Gifts & Household,Desktop,5,760,Colour was different from expected,10/5/10,9/4/08,1,0.4379,0
C514482,POST,POSTAGE,-2,7/2/10 14:38,18,36,12422,Switzerland,9/7/10,20-07-10,11,Debit Card,0.0274,Gifts & Household,Laptop,10,814,Colour was different from expected,2/7/10,9/4/08,0,0.1266,0
C514485,POST,POSTAGE,-1,7/2/10 14:41,18,18,12422,Switzerland,14-07-10,16-07-10,2,Credit Card,0.0395,Gifts & Household,Laptop,0,822,No longer needed,10/7/10,9/4/08,0,0.1641,0
C490702,47566,PARTY BUNTING,-1,12/7/09 14:43,4.65,4.65,12424,Australia,11/12/09,2/1/10,22,Debit Card,0,Storage & Organisation,Desktop,25,1185,Ordered by mistake,10/12/09,12/9/06,0,0.0469,1
C490702,47590B,PINK HAPPY BIRTHDAY BUNTING,-3,12/7/09 14:43,5.45,16.35,12424,Australia,11/12/09,23-12-09,12,Bank Transfer,1,Storage & Organisation,Laptop,5,1185,Bought the wrong item,10/12/09,12/9/06,1,0.3662,1
C490756,21125,SET 6 FOOTBALL CELEBRATION CANDLES,-1,12/8/09 9:27,1.25,1.25,12424,Australia,15-12-09,10/1/10,26,Credit Card,1,Lighting,Laptop,0,1186,Colour was different from expected,11/12/09,12/9/06,2,0.2165,0
C490756,21126,SET OF 6 GIRLS CELEBRATION CANDLES,-2,12/8/09 9:27,1.25,2.5,12424,Australia,17-12-09,13-01-10,27,Debit Card,1,Lighting,Laptop,10,1186,Colour was different from expected,11/12/09,12/9/06,3,0.3219,0
C510878,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,-3,6/4/10 9:59,8.5,25.5,12424,Australia,9/6/10,6/7/10,27,PayPal,1,Gifts & Household,Mobile,10,1362,No longer needed,6/6/10,12/9/06,4,0.4808,0
C525463,22422,TOOTHPASTE TUBE PEN,-24,10/5/10 14:50,0.65,15.6,12425,Portugal,10/10/10,16-10-10,6,PayPal,0,Gifts & Household,Laptop,10,711,Wrong size,6/10/10,25-10-08,0,0.0823,0
C525463,85049E,SCANDINAVIAN REDS RIBBONS,-12,10/5/10 14:50,1.25,15,12425,Portugal,7/10/10,11/10/10,4,Debit Card,0.0179,Gifts & Household,Desktop,0,711,Ordered by mistake,6/10/10,25-10-08,1,0.2027,0
C525463,84789,ENCHANTED BIRD PLANT CAGE,-4,10/5/10 14:50,3.75,15,12425,Portugal,9/10/10,27-10-10,18,PayPal,0.0351,Gifts & Household,Desktop,5,711,Changed my mind,6/10/10,25-10-08,2,0.4086,1
C525463,37495,FAIRY CAKE BIRTHDAY CANDLE SET,-4,10/5/10 14:50,3.75,15,12425,Portugal,13-10-10,6/11/10,24,Credit Card,0.0517,Lighting,Laptop,15,711,Item did not suit me,6/10/10,25-10-08,3,0.6296,0
C499888,21399,BLUE  SPOTTY  COFFEE MUG,-1,3/3/10 11:22,2.1,2.1,12426,Germany,8/3/10,28-03-10,20,Credit Card,0,Kitchenware,Desktop,5,1176,Ordered by mistake,6/3/10,16-12-06,0,0.0146,0
C499888,21424,WOODLAND STORAGE BOX LARGE ,-1,3/3/10 11:22,2.95,2.95,12426,Germany,8/3/10,29-03-10,21,Credit Card,0.0208,Storage & Organisation,Desktop,0,1176,No longer needed,6/3/10,16-12-06,1,0.1493,0
C499888,71403,"PINK/WHITE ""KEEP CLEAN"" BULLET BIN",-2,3/3/10 11:22,2.95,5.9,12426,Germany,12/3/10,14-03-10,2,Credit Card,0.0408,Gifts & Household,Laptop,15,1176,No longer needed,6/3/10,16-12-06,2,0.1935,0
C499888,21528,DAIRY MAID TRADITIONAL TEAPOT ,-1,3/3/10 11:22,6.95,6.95,12426,Germany,10/3/10,12/3/10,2,Credit Card,0.06,Gifts & Household,Laptop,0,1176,No longer needed,6/3/10,16-12-06,3,0.3417,0
C499888,21527,RETRO SPOT TRADITIONAL TEAPOT ,-2,3/3/10 11:22,7.95,15.9,12426,Germany,12/3/10,19-03-10,7,Debit Card,0.0784,Gifts & Household,Tablet,10,1176,Ordered by mistake,6/3/10,16-12-06,4,0.5626,0
C525894,22951,60 CAKE CASES DOLLY GIRL DESIGN,-120,10/7/10 15:12,0.42,50.4,12429,Denmark,16-10-10,31-10-10,15,Bank Transfer,0,Toys & Gifts,Desktop,15,200,Wrong size,10/10/10,24-03-10,0,0.344,0
C514223,22468,BABUSHKA LIGHTS STRING OF 10,-4,7/1/10 10:11,6.75,27,12431,Australia,4/7/10,2/8/10,29,Bank Transfer,0,Lighting,Laptop,0,657,No longer needed,2/7/10,13-09-08,0,0.2045,1
C515623,22423,REGENCY CAKESTAND 3 TIER,-2,7/14/10 10:00,12.75,25.5,12431,Australia,22-07-10,27-07-10,5,Debit Card,0.0095,Gifts & Household,Desktop,0,671,Item did not suit me,16-07-10,13-09-08,0,0.1904,0
C533327,22892,SET OF SALT AND PEPPER TOADSTOOLS,-12,11/16/10 17:45,1.25,15,12431,Australia,23-11-10,15-12-10,22,PayPal,0.0127,Gifts & Household,Desktop,0,794,Changed my mind,16-11-10,13-09-08,0,0.1789,0
C519737,M,Manual,-1,8/20/10 9:26,152.4,152.4,12433,Norway,31-08-10,8/9/10,8,Debit Card,0,Gifts & Household,Desktop,0,459,Ordered by mistake,25-08-10,23-05-09,0,0.1327,0
C491166,21826,EIGHT PIECE DINOSAUR SET,-4,12/10/09 11:00,1.25,5,12437,France,16-12-09,8/1/10,23,Debit Card,0,Gifts & Household,Desktop,0,809,Item did not suit me,11/12/09,23-09-07,0,0.0497,0
C491166,22138,BAKING SET 9 PIECE RETROSPOT,-2,12/10/09 11:00,4.95,9.9,12437,France,14-12-09,4/1/10,21,Debit Card,0.0357,Gifts & Household,Mobile,10,809,Changed my mind,11/12/09,23-09-07,1,0.2522,0
C491166,22139,RETRO SPOT TEA SET CERAMIC 11 PC,-3,12/10/09 11:00,4.95,14.85,12437,France,14-12-09,22-12-09,8,Credit Card,0.069,Gifts & Household,Mobile,20,809,Colour was different from expected,11/12/09,23-09-07,2,0.3653,0
C491166,22325,MOBILE VINTAGE HEARTS ,-6,12/10/09 11:00,4.95,29.7,12437,France,16-12-09,7/1/10,22,Credit Card,0.1,Gifts & Household,Laptop,15,809,Colour was different from expected,11/12/09,23-09-07,3,0.7212,1
C491410,22325,MOBILE VINTAGE HEARTS ,-6,12/10/09 18:50,4.95,29.7,12437,France,14-12-09,6/1/10,23,Debit Card,0.129,Gifts & Household,Mobile,0,810,Wrong size,11/12/09,23-09-07,4,0.7435,1
C491410,22138,BAKING SET 9 PIECE RETROSPOT,-2,12/10/09 18:50,4.95,9.9,12437,France,18-12-09,19-12-09,1,Credit Card,0.1562,Gifts & Household,Desktop,10,810,Bought the wrong item,11/12/09,23-09-07,5,0.4675,1
C491410,21826,EIGHT PIECE DINOSAUR SET,-4,12/10/09 18:50,1.25,5,12437,France,15-12-09,20-12-09,5,Bank Transfer,0.1818,Gifts & Household,Mobile,5,810,Changed my mind,11/12/09,23-09-07,6,0.3589,0
C491410,22139,RETRO SPOT TEA SET CERAMIC 11 PC,-3,12/10/09 18:50,4.95,14.85,12437,France,16-12-09,26-12-09,10,PayPal,0.2059,Gifts & Household,Desktop,10,810,Colour was different from expected,11/12/09,23-09-07,7,0.5763,1
C500835,21559,STRAWBERRY LUNCHBOX WITH CUTLERY,-1,3/10/10 11:51,2.55,2.55,12437,France,17-03-10,28-03-10,11,Credit Card,0.0452,Storage & Organisation,Tablet,5,898,Wrong size,10/3/10,23-09-07,0,0.0943,0
C500835,22326,ROUND SNACK BOXES SET OF4 WOODLAND,-1,3/10/10 11:51,2.95,2.95,12437,France,15-03-10,19-03-10,4,PayPal,0.0506,Storage & Organisation,Mobile,0,898,Colour was different from expected,10/3/10,23-09-07,1,0.1279,0
C500835,21432,SET OF 3 CASES WOODLAND DESIGN,-2,3/10/10 11:51,5.95,11.9,12437,France,11/3/10,2/4/10,22,Debit Card,0.0559,Gifts & Household,Mobile,5,898,Changed my mind,10/3/10,23-09-07,2,0.3779,0
C500835,21892,TRADITIONAL WOODEN CATCH CUP GAME ,-12,3/10/10 11:51,1.25,15,12437,France,12/3/10,16-03-10,4,Credit Card,0.0611,Kitchenware,Tablet,0,898,Bought the wrong item,10/3/10,23-09-07,3,0.4785,1
C523037,POST,POSTAGE,-1,9/20/10 11:50,18,18,12437,France,27-09-10,10/10/10,13,PayPal,0.0399,Gifts & Household,Desktop,0,1092,No longer needed,20-09-10,23-09-07,0,0.1244,0
C523602,85232B,SET OF 3 BABUSHKA STACKING TINS,-2,9/23/10 10:30,4.95,9.9,12437,France,27-09-10,23-10-10,26,Credit Card,0.043,Storage & Organisation,Desktop,10,1098,Wrong size,26-09-10,23-09-07,1,0.3093,0
C528931,21209,MULTICOLOUR HONEYCOMB FAN,-12,10/25/10 15:08,1.65,19.8,12437,France,29-10-10,20-11-10,22,Credit Card,0.0405,Gifts & Household,Desktop,0,1130,Bought the wrong item,28-10-10,23-09-07,0,0.2371,1
C528931,22222,CAKE PLATE LOVEBIRD WHITE,-1,10/25/10 15:08,4.95,4.95,12437,France,29-10-10,13-11-10,15,Debit Card,0.0432,Kitchenware,Laptop,15,1130,Colour was different from expected,28-10-10,23-09-07,1,0.225,0
C532390,22634,CHILDS BREAKFAST SET SPACEBOY ,-1,11/11/10 19:12,9.95,9.95,12437,France,17-11-10,3/12/10,16,PayPal,0.0421,Toys & Gifts,Desktop,0,1148,No longer needed,14-11-10,23-09-07,0,0.1334,0
C532390,22618,COOKING SET RETROSPOT,-2,11/11/10 19:12,9.95,19.9,12437,France,17-11-10,24-11-10,7,PayPal,0.0446,Gifts & Household,Mobile,10,1148,Colour was different from expected,14-11-10,23-09-07,1,0.3869,1
C491727,21231,SWEETHEART CERAMIC TRINKET BOX,-12,12/14/09 9:10,1.25,15,12439,Cyprus,22-12-09,5/1/10,14,Debit Card,0,Storage & Organisation,Laptop,10,1083,Bought the wrong item,16-12-09,29-12-06,0,0.0276,0
C491727,21166,COOK WITH WINE METAL SIGN ,-12,12/14/09 9:10,1.95,23.4,12439,Cyprus,23-12-09,4/1/10,12,Debit Card,0.0145,Gifts & Household,Desktop,5,1083,Ordered by mistake,16-12-09,29-12-06,1,0.282,1
C491727,18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,-6,12/14/09 9:10,2.55,15.3,12439,Cyprus,22-12-09,9/1/10,18,Credit Card,0.0286,Lighting,Mobile,5,1083,Ordered by mistake,16-12-09,29-12-06,2,0.4811,1
